Player,Team,Batting_Level,Bowling_Level,Fielding_Level,Predicted_Role,Batter_Confidence,Bowler_Confidence,Fielder_Confidence,AllRounder_Confidence,Wicketkeeper_Confidence
Rahul Dua,Windsor Lions CC,4,4,3,Batter,0.0041622734,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Kranthi Ganapathiraju,Super Chargers,3,5,4,Bowler,0.0015753232,0.97908574,0.0044303755,0.008977106,0.00096294575
Rashid Ahmad,Windsor Lions CC,4,4,3,Batter,0.0041622734,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Akram Shaik,Windsor Warriors,4,3,3,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Ranjot Basra,Alpha XI,4,4,3,Batter,0.0041622734,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Yadhu Krishna,EOCC,4,3,4,Fielder,0.0041622734,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Manas Khurana,Windsor Lions 2,4,4,3,Batter,0.0041622734,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Nilkanth Patel,Gujarat Super Lions,4,3,4,Fielder,0.0041622734,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Gagandeep Singh,Windsor Lions 2,4,4,3,Batter,0.0041622734,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Areeb Haroon,Cavaliers CC of Windsor,3,6,3,Bowler,0.0015753232,0.97908574,0.0016853807,0.008977106,0.00096294575
Divyesh Patel,EOCC,4,3,2,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Dheemanth Manikonda,Windsor Royals CC,3,5,4,Bowler,0.0015753232,0.97908574,0.0044303755,0.008977106,0.00096294575
Manpreet Singh,Punjab XI CC,4,2,6,Fielder,0.0041622734,0.0018361142,0.96650845,0.0008494055,0.0155655015
Ram Mummareddy,Super Chargers,4,4,4,Fielder,0.0041622734,0.0030556908,0.0044303755,0.0008494055,0.00096294575
Mohibullah Habibzai,Windsor Lions CC,3,5,4,Bowler,0.0015753232,0.97908574,0.0044303755,0.008977106,0.00096294575
Aizaaz Saeed,Cavaliers CC of Windsor,3,5,3,Bowler,0.0015753232,0.97908574,0.0016853807,0.008977106,0.00096294575
Nisarg Tailor,Windsor Lancers CC,3,6,4,Bowler,0.0015753232,0.97908574,0.0044303755,0.008977106,0.00096294575
Imran Bashir,Optimist CC,3,5,3,Bowler,0.0015753232,0.97908574,0.0016853807,0.008977106,0.00096294575
William Michaelsamy,Renegades X,3,6,3,Bowler,0.0015753232,0.97908574,0.0016853807,0.008977106,0.00096294575
Amarjit Singh,Chatham CC,3,5,3,Bowler,0.0015753232,0.97908574,0.0016853807,0.008977106,0.00096294575
Dinesh Kumar Ancha,Super Chargers,3,4,5,Fielder,0.0015753232,0.0030556908,0.96650845,0.0008494055,0.0155655015
Umair Sharif,Optimist CC,3,5,3,Bowler,0.0015753232,0.97908574,0.0016853807,0.008977106,0.00096294575
Tejas Joshi,WEUnited CC,4,2,5,Fielder,0.0041622734,0.0018361142,0.96650845,0.0008494055,0.0155655015
Harsh Patel,Gujarat Super Lions,3,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Sajheet Shetty,Renegades CC,4,2,4,Fielder,0.0041622734,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Smit Bardoli,Super Chargers,4,2,3,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Rajan Patel,Gujarat Lions CC,3,4,4,Fielder,0.0015753232,0.0030556908,0.0044303755,0.0008494055,0.00096294575
Ashwinraj Gnanavel,Renegades X,4,2,4,Fielder,0.0041622734,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Sharath Shankar,Windsor Lancers CC,4,4,4,Fielder,0.0041622734,0.0030556908,0.0044303755,0.0008494055,0.00096294575
Arjun Patel,Gujarat Lions CC,3,5,5,Bowler,0.0015753232,0.97908574,0.96650845,0.008977106,0.0155655015
Kemar Walcott,Cavaliers CC of Windsor,2,5,4,Bowler,0.0015753232,0.97908574,0.0044303755,0.008977106,0.00096294575
Aniket Sharma,EOCC,4,4,2,Batter,0.0041622734,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Adil Shinwari,Cavaliers CC of Windsor,4,4,4,Fielder,0.0041622734,0.0030556908,0.0044303755,0.0008494055,0.00096294575
Jagroop Singh,Windsor Lions 2,4,3,4,Fielder,0.0041622734,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Md Nafiuzzaman,Cavaliers CC of Windsor,4,2,3,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Hardik Trivedi,WEUnited CC,4,3,3,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Ikram Ali Khokhar,Malik CC,2,5,4,Bowler,0.0015753232,0.97908574,0.0044303755,0.008977106,0.00096294575
Kiran Kumar T B,Trophy Fighters,4,3,2,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Raza Malik,Malik CC,4,2,4,Fielder,0.0041622734,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Muhammad Arif Khan,Lasalle Lightning CC,3,5,3,Bowler,0.0015753232,0.97908574,0.0016853807,0.008977106,0.00096294575
Muhammad Abdullah,Alpha XI,3,4,4,Fielder,0.0015753232,0.0030556908,0.0044303755,0.0008494055,0.00096294575
Naveen Bhoopal,Renegades CC,4,2,3,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Amar Reddy,Chatham CC,3,5,3,Bowler,0.0015753232,0.97908574,0.0016853807,0.008977106,0.00096294575
Mohamed Fiazul Hasan Raja Abdul Rahman,Windsor Lancers CC,4,2,3,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Ghoshit Patel,Underdogs CC,3,4,4,Fielder,0.0015753232,0.0030556908,0.0044303755,0.0008494055,0.00096294575
Samrat Klair,Punjab XI CC,4,2,5,Fielder,0.0041622734,0.0018361142,0.96650845,0.0008494055,0.0155655015
Aryan Khullar,Windsor Lions CC,3,5,4,Bowler,0.0015753232,0.97908574,0.0044303755,0.008977106,0.00096294575
Mohit Bhatia,Windsor Tigers CC,4,4,4,Fielder,0.0041622734,0.0030556908,0.0044303755,0.0008494055,0.00096294575
Harsh Desai,Windsor Lions 2,4,4,2,Batter,0.0041622734,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Abdullah Qureshi,Lasalle Lightning CC,4,2,3,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Vikram Dahiya,Vulcans CC,4,3,4,Fielder,0.0041622734,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Mit Patel,WEUnited CC,3,5,4,Bowler,0.0015753232,0.97908574,0.0044303755,0.008977106,0.00096294575
Shivam Jadeja,Gujarat Super Lions,4,3,3,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Gurveer Singh Sran,Windsor Royals CC,3,4,4,Fielder,0.0015753232,0.0030556908,0.0044303755,0.0008494055,0.00096294575
Maninder Brar,Punjab XI CC,3,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Riaz Ali Lashari,Alpha XI,4,2,3,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Harman Brar,Windsor Lions CC,4,2,3,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Jaspinder Singh,Malik CC,4,2,3,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Anmol Chahal,Punjab XI CC,4,2,4,Fielder,0.0041622734,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Udaypratap Singh,Gujarat Lions CC,4,2,3,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Rizwan Baig,Cavaliers CC of Windsor,4,2,2,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Manish Patel,EOCC,3,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Jurred Jones,Cavaliers CC of Windsor,4,3,5,Fielder,0.0041622734,0.0018361142,0.96650845,0.0008494055,0.0155655015
Smit Prajapati,EOCC,3,4,4,Fielder,0.0015753232,0.0030556908,0.0044303755,0.0008494055,0.00096294575
Abhishek Mishra,EOCC,4,2,5,Fielder,0.0041622734,0.0018361142,0.96650845,0.0008494055,0.0155655015
Karthik Raja,Renegades CC,4,2,4,Fielder,0.0041622734,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Upendra Patike,Street Strikers,4,3,4,Fielder,0.0041622734,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Harjeet Singh,Punjab XI CC,3,5,3,Bowler,0.0015753232,0.97908574,0.0016853807,0.008977106,0.00096294575
Smit Gheewala,Windsor Lancers CC,4,2,4,Fielder,0.0041622734,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Gagan Deep,Optimist CC,2,5,3,Bowler,0.0015753232,0.97908574,0.0016853807,0.008977106,0.00096294575
Beantjeet Singh,Windsor Royals CC,4,2,3,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Simran Jeet,Optimist CC,4,2,4,Fielder,0.0041622734,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Khadagapani Reddy Jayareddy,Vulcans CC,3,4,4,Fielder,0.0015753232,0.0030556908,0.0044303755,0.0008494055,0.00096294575
Neeraj A,Alpha XI,3,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Keyoor Buch,Optimist CC,3,3,5,Fielder,0.0015753232,0.0018361142,0.96650845,0.0008494055,0.0155655015
Collvon King,Cavaliers CC of Windsor,3,4,4,Fielder,0.0015753232,0.0030556908,0.0044303755,0.0008494055,0.00096294575
Vadhul Krishnan,Renegades X,4,2,4,Fielder,0.0041622734,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Gopi Nedamarthi,Mavericks CC,3,4,5,Fielder,0.0015753232,0.0030556908,0.96650845,0.0008494055,0.0155655015
Imran Khan,Malik CC,4,2,5,Fielder,0.0041622734,0.0018361142,0.96650845,0.0008494055,0.0155655015
Alister Lopes,Vulcans CC,4,3,4,Fielder,0.0041622734,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Nikunj Dankhara,Windsor Lancers CC,4,3,2,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Rustam Bhatti,Alpha XI,4,2,4,Fielder,0.0041622734,0.0018361142,0.0044303755,0.0008494055,0.00096294575
John Ouseph,Renegades CC,3,5,3,Bowler,0.0015753232,0.97908574,0.0016853807,0.008977106,0.00096294575
Nadir Khan,Chatham CC,4,3,4,Fielder,0.0041622734,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Hamad Shah,Chatham CC,4,3,2,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Sai Karthik,Street Strikers,3,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Ripu Singh,Trophy Fighters,3,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Maulik Gabani,Alpha XI,3,3,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Abhi Sannagiri,Mavericks CC,3,4,5,Fielder,0.0015753232,0.0030556908,0.96650845,0.0008494055,0.0155655015
Goutham Reddy,Vulcans CC,3,5,3,Bowler,0.0015753232,0.97908574,0.0016853807,0.008977106,0.00096294575
Varun Sharma,WEUnited CC,3,4,4,Fielder,0.0015753232,0.0030556908,0.0044303755,0.0008494055,0.00096294575
Aman Singh,WEUnited CC,4,2,2,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Keval Vasra,Windsor Lancers CC,3,4,4,Fielder,0.0015753232,0.0030556908,0.0044303755,0.0008494055,0.00096294575
Srikanth Vasavi,Mavericks CC,3,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Nirmal Gill,Punjab XI CC,4,2,2,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Pavan Bandi,Renegades CC,4,2,4,Fielder,0.0041622734,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Viraj Patel,WEUnited CC,2,5,3,Bowler,0.0015753232,0.97908574,0.0016853807,0.008977106,0.00096294575
Glenroy Lumely,Cavaliers CC of Windsor,4,2,3,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Shahzeb Akram,WEUnited CC,4,2,4,Fielder,0.0041622734,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Amit Sharma,Trophy Fighters,4,2,4,Fielder,0.0041622734,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Nikhil Ghattamaneni,Mavericks CC,4,3,2,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Aftab Malik,Malik CC,2,5,3,Bowler,0.0015753232,0.97908574,0.0016853807,0.008977106,0.00096294575
Sohail Malik,Malik CC,3,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Santokhsar Singh,Windsor Lions 2,2,5,3,Bowler,0.0015753232,0.97908574,0.0016853807,0.008977106,0.00096294575
Honey Saini,Windsor Tigers CC,3,4,5,Fielder,0.0015753232,0.0030556908,0.96650845,0.0008494055,0.0155655015
Harman Brar,Underdogs CC,4,2,4,Fielder,0.0041622734,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Taimoor Javed,Lasalle Lightning CC,3,3,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Yousof Totakhil,Windsor Warriors,3,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Leela M Kondeparthi,Mavericks CC,3,2,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Ganga Singh,Windsor Lions CC,3,2,5,Fielder,0.0015753232,0.0018361142,0.96650845,0.0008494055,0.0155655015
Neil Contractor,Alpha XI,4,2,4,Fielder,0.0041622734,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Shivam Rajput,Windsor Royals CC,3,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Pardeep Singh,Punjab XI CC,2,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Bobby Venktesh,Windsor Lions 2,3,2,6,Fielder,0.0015753232,0.0018361142,0.96650845,0.0008494055,0.0155655015
Faizaan Munim,Chatham CC,3,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Raj Sabalpara,Windsor Lancers CC,3,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Gurkirat Singh,Vulcans CC,4,2,3,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Chaitanya Thokala,Trophy Fighters,3,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Karan Singh,Windsor Tigers CC,4,2,3,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Vignesh Ganapathy,Renegades X,3,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Karan Adhaduk,WEUnited CC,3,2,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Arshdeep Singh,Punjab XI CC,3,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Jignesh Patel,Gujarat Lions CC,3,4,2,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Faisal Wahid,Windsor Warriors,4,2,2,Batter,0.0041622734,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Rohith V,Trophy Fighters,3,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Jasleen Bhatti,Punjab XI CC,2,5,3,Bowler,0.0015753232,0.97908574,0.0016853807,0.008977106,0.00096294575
Luqman Ahmad,Windsor Lions CC,3,3,5,Fielder,0.0015753232,0.0018361142,0.96650845,0.0008494055,0.0155655015
Shabbir Stationwala,Windsor Warriors,3,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Rohit Kataria,Windsor Tigers CC,2,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Anooplal Ravi,Renegades CC,3,4,4,Fielder,0.0015753232,0.0030556908,0.0044303755,0.0008494055,0.00096294575
Vasudevareddy Vulavala,Windsor Lancers CC,3,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Jaspreet Brar,Windsor Tigers CC,2,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Divya Patel,Renegades X,3,3,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Ravinder Singh,Windsor Lions 2,3,3,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Farooq Hyder,Lasalle Lightning CC,2,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Alger A,Alpha XI,3,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Sanam Mehta,Vulcans CC,3,3,5,Fielder,0.0015753232,0.0018361142,0.96650845,0.0008494055,0.0155655015
Gurjot Singh,Windsor Warriors,3,4,4,Fielder,0.0015753232,0.0030556908,0.0044303755,0.0008494055,0.00096294575
Anirudh Gururajan,Windsor Lions CC,3,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Nikhil Kakumanu,Super Chargers,2,4,5,Fielder,0.0015753232,0.0030556908,0.96650845,0.0008494055,0.0155655015
Vignesh Vaidyanathan,Renegades X,3,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Jay Bhimani,Renegades CC,3,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Ram Bodhe,Windsor Lancers CC,2,4,4,Fielder,0.0015753232,0.0030556908,0.0044303755,0.0008494055,0.00096294575
Yash Pandya,Windsor Dominion CC,3,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Chetan Nawale,Renegades X,3,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Sarim Khan,Optimist CC,2,4,2,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Parth Patel,EOCC,2,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Muhammad Usman,Lasalle Lightning CC,3,4,4,Fielder,0.0015753232,0.0030556908,0.0044303755,0.0008494055,0.00096294575
Prince Kakadiya,WEUnited CC,3,3,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Jaspreet Singh,Punjab XI CC,2,4,4,Fielder,0.0015753232,0.0030556908,0.0044303755,0.0008494055,0.00096294575
Raghav Sharma,EOCC,2,4,4,Fielder,0.0015753232,0.0030556908,0.0044303755,0.0008494055,0.00096294575
Malay Mehta,Windsor Lions CC,2,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Peter Anglican,Gujarat Super Lions,3,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Waseem Arif,Windsor Dominion CC,3,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Mandeep Sidhu,Windsor Tigers CC,2,4,2,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Simrat Buttar,Windsor Lions 2,3,4,4,Fielder,0.0015753232,0.0030556908,0.0044303755,0.0008494055,0.00096294575
Anas Saqib,Alpha XI,3,3,5,Fielder,0.0015753232,0.0018361142,0.96650845,0.0008494055,0.0155655015
Nisarg Pandya,Windsor Lancers CC,3,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Hiren Patel,Gujarat Lions CC,3,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Danish Siddiqui,Lasalle Lightning CC,3,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Pujan Langadia,Optimist CC,3,2,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
ANKITKUMAR PATEL,Gujarat Super Lions,3,4,2,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Sahil Lamba,Lasalle Lightning CC,2,4,2,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Hemant Bhardwaj,Underdogs CC,3,3,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Daniyaal Sohaib,Lasalle Lightning CC,3,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Anirudh Reddy R,Mavericks CC,3,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Sukhkirat Singh,FSC WINDSOR,3,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
